1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,27420GLBRC7300F,110000847601,GILBARCO INC,7300 W FRIENDLY AVE,GREENSBORO,GUILFORD,NC,27410,,,36.087654,-79.927202,,VONTIER CORP,117433469,VONTIER CORP,NA,,NA,NO,333,Machinery,,,,,,,333914,,,,,,1323221994736,Chromium,NO,0007440473,7440-47-3,150060,YES,TRI,YES,Elemental metals,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2023,27107STRHC4000O,110000345458,ARDAGH METAL BEVERAGE USA INC RE: WINSTON SALEM PLANT,4000 OLD MILWAUKEE LN,WINSTON SALEM,FORSYTH,NC,27107,,,36.039692,-80.227636,,ARDAGH HOLDINGS USA INC,080376954,ARDAGH HOLDINGS USA INC,NA,,ARDAGH GROUP SA A LUXEMBOURG CO,NO,332,Fabricated Metals,,,,,,,332431,,,,,,1323221645625,Manganese,NO,0007439965,7439-96-5,149625,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.000,0.000,56.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1102.000,0.000,0.000,0.000,0.000,0.000,1158.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1158.000,1158.000,0.000,0.000,0.000,1102.000,56.000,0.000,0.000,0.000,0.000,0.000,0.000,1158.000,,PRODUCTION,1.070
2023,27264SPRBR1350W,110000554533,DFA DAIRY BRANDS FLUID LLC DBA PET DAIRY,1350 W FAIRFIELD RD,HIGH POINT,GUILFORD,NC,27263,,,35.921990,-80.012611,,DAIRY FARMERS OF AMERICA INC,029855640,DAIRY FARMERS OF AMERICA INC,NA,,NA,NO,311,Food,,,,,,,311511,,,,,,1323221764057,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,12750.000,12750.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12750.000,0.000,12750.000,5.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,12755.000,12750.000,25510.000,,PRODUCTION,1.520
2023,27573MYLCT10660,110057382666,DUKE ENERGY PROGRESS LLC-MAYO ELECTRIC GENERATING PLANT,10660 BOSTON RD,ROXBORO,PERSON,NC,27574,,,36.520930,-78.906577,,DUKE ENERGY CORP,006996052,DUKE ENERGY CORP,NA,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221840491,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,16.000,170.000,160.000,0.000,0.000,0.000,0.000,0.000,34000.000,0.000,0.000,0.000,0.000,0.000,34346.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,172.000,0.000,172.000,0.000,0.000,0.000,0.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.000,34518.000,0.000,34000.000,350.000,0.000,170.000,0.000,0.000,0.000,10.000,0.000,0.000,34530.000,,PRODUCTION,1.120
2023,28466SWFTC1170C,110000350389,HOUSE OF RAEFORD FARMS INC WALLACE DIV,233 BUTTERBALL RD,TEACHEY,DUPLIN,NC,28464,,,34.757681,-78.050789,,NA,,HOUSE OF RAEFORD,NA,,NA,NO,311,Food,,,,,,,311615,,,,,,1323221846191,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,1723.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1723.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1723.000,0.000,0.000,1723.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1723.000,,PRODUCTION,1.000
2023,28311KLLYS6650R,110000349784,THE GOODYEAR TIRE & RUBBER CO FAYETTEVILLE PLANT,6650 RAMSEY ST,FAYETTEVILLE,CUMBERLAND,NC,28311,,,35.170704,-78.861135,,THE GOODYEAR TIRE & RUBBER CO,004467924,THE GOODYEAR TIRE & RUBBER CO,NA,,NA,NO,326,Plastics and Rubber,,,,,,,326211,,,,,,1323221768726,Cobalt compounds,NO,N096,N096,649970,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,0.000,4.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1534.430,0.000,0.000,1534.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1534.430,4.700,0.000,0.000,4.700,0.000,0.000,0.000,0.000,0.000,1534.430,0.000,0.000,1539.130,,PRODUCTION,0.900
2023,2820WSWSCN715ST,110071284944,SWS CONCRETE-MAIN PLANT,715 STATE STREET,CHARLOTTE,MECKLENBURG,NC,28208,,,35.239738,-80.869913,,STEVENSON-WEIR/SOUTHERN LLC,NA,STEVENSON-WEIR/SOUTHERN LLC,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323221709013,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,,PRODUCTION,0.650
2023,28144NTNLL1709J,110000348927,GRANGES AMERICAS INC,1709 JAKE ALEXANDER BLVD S,SALISBURY,ROWAN,NC,28146,,,35.641903,-80.471581,,NA,,GRANGES AMERICAS INC,NA,,NA,NO,331,Primary Metals,,,,,,,331315,,,,,,1323221836721,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,2.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,304.800,0.000,0.000,0.000,304.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,304.800,2.820,0.000,0.000,2.820,0.000,0.000,0.000,0.000,0.000,304.800,0.000,0.000,307.620,,PRODUCTION,1.070
2023,27025PNHLLLINDS,110000345118,PINE HALL BRICK CO INC,634 LINDSAY BRIDGE RD,MADISON,ROCKINGHAM,NC,27025,,,36.375028,-79.992297,,PINE HALL BRICK CO INC,041414541,PINE HALL BRICK CO INC,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1323221677457,Benzene,NO,0000071432,71-43-2,4754,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.000,310.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,310.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,310.735,0.000,0.000,310.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,310.735,,PRODUCTION,1.000
2023,28241HNKLC3300W,110012474740,IGM RESINS USA INC,3300 WESTINGHOUSE BLVD,CHARLOTTE,MECKLENBURG,NC,28273,,,35.132649,-80.961401,,IGM SPECIALTIES HOLDING INC,NA,IGM SPECIALTIES HOLDING INC,NA,,NA,NO,325,Chemicals,,,,,,,325998,,,,,,1323222361065,Toluene,NO,0000108883,108-88-3,25452,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,,PRODUCTION,1.330
